,phrase,frequency
1558,皮宝石剑,1
1559,碎片,30
1560,年份,7
1561,就说,65
1562,一句话,300
1563,声优表,7
1564,ωひ,3
1565,魂回,2
1566,剑栏,4
1567,伤身,5
1568,合眼,3
1569,含笑,2
1570,好么,33
1571,赞赞,10
1572,制作组,141
1573,有木有,18
1574,深泽,6
1575,秀行,6
1576,音乐,387
1577,看哭,47
1578,电话号,1
1579,老手,21
1580,乖乖,74
1581,上课,10
1582,此时,1662
1583,心潮,3
1584,澎湃,7
1585,开口,207
1586,感动,456
1587,音响,43
1588,监督,21
1589,岩浪美,1
1590,换成,89
1591,ヾŐ,4
1592,Ő๑,4
1593,反光,40
1594,地板,131
1595,绿字,6
1596,233333333,65
1597,bgm,551
1598,发给,13
1599,他家,30
1600,值钱,3
1601,这样,3297
1602,麻麻,44
1603,飞诶,3
1604,工资,31
1605,结算,6
1606,無い,1
1607,けど,2
1608,踹门,3
1609,进来,18
1610,总算,80
1611,wwwww,19
1612,旅行,46
1613,点赞,156
1614,混乱,72
1615,茶泡,3
1616,欢迎,20
1617,来到,140
1618,满满,136
1619,受伤,657
1620,一切,128
1621,交给,121
1622,jd,1131
1623,快哭,8
1624,部分,126
1625,ED,162
1626,泽秀,1
1627,行为,1661
1628,TV配,1
1629,主题曲,41
1630,组即,2
1631,最好,638
1632,放学,19
1633,组wwwww,1
1634,交换,74
1635,戒指,1122
1636,家庭,6
1637,煮夫,3
1638,边上,26
1639,愿望,349
1640,复活,275
1641,更加,99
1642,以后,22
1643,封印,29
1644,为何,353
1645,BurstLink,3
1646,萌闹,1
1647,别扭,28
1648,情侣装,2
1649,赶脚,12
1650,看樱,4
1651,忧伤,20
